title,authors,link,abstract,date,tags
Joint Management of Compute and Radio Resources in Mobile Edge Computing: a Market Equilibrium Approach,"['Eugenio Moro', 'Ilario Filippini']",https://arxiv.org/pdf/2011.05950,"Edge computing has been recently introduced as a way to bring computational capabilities closer to end users of modern network-based services, in order to support existent and future delay-sensitive applications by effectively addressing the high propagation delay issue that affects cloud computing. However, the problem of efficiently and fairly manage the system resources presents particular chal…",2020-11-11,['cs.NI']
"On contraction coefficients, partial orders and approximation of capacities for quantum channels","['Christoph Hirche', 'Cambyse Rouzé', 'Daniel Stilck França']",https://arxiv.org/pdf/2011.05949,"The data processing inequality is the most basic requirement for any meaningful measure of information. It essentially states that distinguishability measures between states decrease if we apply a quantum channel. It is the centerpiece of many results in information theory and justifies the operational interpretation of most entropic quantities. In this work, we revisit the notion of contraction c…",2020-11-11,"['quant-ph', 'cs.IT']"
Petr4: Formal Foundations for P4 Data Planes,"['Ryan Doenges', 'Mina Tahmasbi Arashloo', 'Santiago Bautista', 'Alexander Chang', 'Newton Ni', 'Samwise Parkinson', 'Rudy Peterson', 'Alaia Solko-Breslin', 'Amanda Xu', 'Nate Foster']",https://arxiv.org/pdf/2011.05948,"P4 is a domain-specific language for programming and specifying packet-processing systems. It is based on an elegant design with high-level abstractions like parsers and match-action pipelines that can be compiled to efficient implementations in software or hardware. Unfortunately, like many industrial languages, P4 has developed without a formal foundation. The P4 Language Specification is a 160-…",2020-11-11,"['cs.PL', 'cs.NI']"
Asymptotically Optimal Information-Directed Sampling,"['Johannes Kirschner', 'Tor Lattimore', 'Claire Vernade', 'Csaba Szepesvári']",https://arxiv.org/pdf/2011.05944,"We introduce a computationally efficient algorithm for finite stochastic linear bandits. The approach is based on the frequentist information-directed sampling (IDS) framework, with an information gain potential that is derived directly from the asymptotic regret lower bound. We establish frequentist regret bounds, which show that the proposed algorithm is both asymptotically optimal and worst-cas…",2020-11-11,"['stat.ML', 'cs.LG']"
LittleYOLO-SPP: A Delicate Real-Time Vehicle Detection Algorithm,"['Sri Jamiya S', 'Esther Rani P']",https://arxiv.org/pdf/2011.05940,"Vehicle detection in real-time is a challenging and important task. The existing real-time vehicle detection lacks accuracy and speed. Real-time systems must detect and locate vehicles during criminal activities like theft of vehicle and road traffic violations with high accuracy. Detection of vehicles in complex scenes with occlusion is also extremely difficult. In this study, a lightweight model…",2020-11-11,"['cs.CV', 'eess.IV']"
Blockchain-Enabled EHR Framework for Internet of Medical Things,"['Lewis Nkenyereye', 'S. M. Riazul Islam', 'Mahmud Hossain', 'M. Abdullah-Al-Wadud', 'Atif Alamri']",https://arxiv.org/pdf/2011.05935,"The Internet of Medical Things (IoMT) offers an infrastructure made of smart medical equipment and software applications for health services. Through the internet, the IoMT is capable of providing remote medical diagnosis and timely health services. The patients can use their smart devices to create, store and share their electronic health records (EHR) with a variety of medical personnel includin…",2020-11-11,"['cs.CR', 'cs.NI']"
Empirical Risk Minimization in the Non-interactive Local Model of Differential Privacy,"['Di Wang', 'Marco Gaboardi', 'Adam Smith', 'Jinhui Xu']",https://arxiv.org/pdf/2011.05934,"In this paper, we study the Empirical Risk Minimization (ERM) problem in the non-interactive Local Differential Privacy (LDP) model. Previous research on this problem \citep{smith2017interaction} indicates that the sample complexity, to achieve error αα, needs to be exponentially depending on the dimensionality pp for general loss functions. In this paper, we make two attempts to resolve this is…",2020-11-11,"['cs.LG', 'cs.CR', 'stat.ML']"
A model for the Twitter sentiment curve,"['Giacomo Aletti', 'Irene Crimaldi', 'Fabio Saracco']",https://arxiv.org/pdf/2011.05933,"Twitter is among the most used online platforms for the political communications, due to the concision of its messages (which is particularly suitable for political slogans) and the quick diffusion of messages. Especially when the argument stimulate the emotionality of users, the content on Twitter is shared with extreme speed and thus studying the tweet sentiment if of utmost importance to predic…",2020-11-11,"['cs.SI', 'physics.soc-ph']"
Overview of CAPITEL Shared Tasks at IberLEF 2020: Named Entity Recognition and Universal Dependencies Parsing,"['Jordi Porta-Zamorano', 'Luis Espinosa-Anke']",https://arxiv.org/pdf/2011.05932,"We present the results of the CAPITEL-EVAL shared task, held in the context of the IberLEF 2020 competition series. CAPITEL-EVAL consisted on two subtasks: (1) Named Entity Recognition and Classification and (2) Universal Dependency parsing. For both, the source data was a newly annotated corpus, CAPITEL, a collection of Spanish articles in the newswire domain. A total of seven teams participated…",2020-11-11,['cs.CL']
Transmission of a Bit over a Discrete Poisson Channel with Memory,"['Niloufar Ahmadypour', 'Amin Gohari']",https://arxiv.org/pdf/2011.05931,"A coding scheme for transmission of a bit maps a given bit to a sequence of channel inputs (called the codeword associated to the transmitted bit). In this paper, we study the problem of designing the best code for a discrete Poisson channel with memory (under peak-power and total-power constraints). The outputs of a discrete Poisson channel with memory are Poisson distributed random variables wit…",2020-11-11,['cs.IT']
J-Recs: Principled and Scalable Recommendation Justification,"['Namyong Park', 'Andrey Kan', 'Christos Faloutsos', 'Xin Luna Dong']",https://arxiv.org/pdf/2011.05928,"Online recommendation is an essential functionality across a variety of services, including e-commerce and video streaming, where items to buy, watch, or read are suggested to users. Justifying recommendations, i.e., explaining why a user might like the recommended item, has been shown to improve user satisfaction and persuasiveness of the recommendation. In this paper, we develop a method for gen…",2020-11-11,"['cs.IR', 'cs.AI']"
Hamiltonian Q-Learning: Leveraging Importance-sampling for Data Efficient RL,"['Udari Madhushani', 'Biswadip Dey', 'Naomi Ehrich Leonard', 'Amit Chakraborty']",https://arxiv.org/pdf/2011.05927,"Model-free reinforcement learning (RL), in particular Q-learning is widely used to learn optimal policies for a variety of planning and control problems. However, when the underlying state-transition dynamics are stochastic and high-dimensional, Q-learning requires a large amount of data and incurs a prohibitively high computational cost. In this paper, we introduce Hamiltonian Q-Learning, a data…",2020-11-11,"['cs.LG', 'eess.SY', 'math.OC']"
I-BOT: Interference-Based Orchestration of Tasks for Dynamic Unmanaged Edge Computing,"['Shikhar Suryavansh', 'Chandan Bothra', 'Kwang Taik Kim', 'Mung Chiang', 'Chunyi Peng', 'Saurabh Bagchi']",https://arxiv.org/pdf/2011.05925,"In recent years, edge computing has become a popular choice for latency-sensitive applications like facial recognition and augmented reality because it is closer to the end users compared to the cloud. Although infrastructure providers are working toward creating managed edge networks, personal devices such as laptops and tablets, which are widely available and are underutilized, can also be used…",2020-11-11,"['cs.DC', 'cs.NI']"
Improvement of plant performance using Closed loop Reference Model Simple Adaptive Control for Micro Air Vehicle,"['Shuvrangshu Jana', 'M. Seetharama Bhat']",https://arxiv.org/pdf/2011.05924,"In this paper, we present a novel idea to improve the transient performance of the existing Simple Adaptive Control architecture, without requiring high adaptation gains. Improvement in performance is achieved by incorporating the closed loop reference model based on the output feedback to the Simple Adaptive Control architecture. In this proposed scheme, the reference model dynamics is driven by…",2020-11-11,"['eess.SY', 'cs.RO']"
Mastermind with a Linear Number of Queries,"['Anders Martinsson', 'Pascal Su']",https://arxiv.org/pdf/2011.05921,"Since the 60's Mastermind has been studied for the combinatorial and information theoretical interest the game has to offer. Many results have been discovered starting with Erdős and Rényi determining the optimal number of queries needed for two colors. For kk colors and nn positions, Chvátal found asymptotically optimal bounds when k \le n^{1-ε}k \le n^{1-ε}. Following a sequence of gradual improvements f…",2020-11-11,"['math.CO', 'cs.DS']"
"Situated Data, Situated Systems: A Methodology to Engage with Power Relations in Natural Language Processing Research","['Lucy Havens', 'Melissa Terras', 'Benjamin Bach', 'Beatrice Alex']",https://arxiv.org/pdf/2011.05911,"We propose a bias-aware methodology to engage with power relations in natural language processing (NLP) research. NLP research rarely engages with bias in social contexts, limiting its ability to mitigate bias. While researchers have recommended actions, technical methods, and documentation practices, no methodology exists to integrate critical reflections on bias with technical NLP methods. In th…",2020-11-11,['cs.CL']
Audrey: A Personalized Open-Domain Conversational Bot,"['Chung Hoon Hong', 'Yuan Liang', 'Sagnik Sinha Roy', 'Arushi Jain', 'Vihang Agarwal', 'Ryan Draves', 'Zhizhuo Zhou', 'William Chen', 'Yujian Liu', 'Martha Miracky', 'Lily Ge', 'Nikola Banovic', 'David Jurgens']",https://arxiv.org/pdf/2011.05910,"Conversational Intelligence requires that a person engage on informational, personal and relational levels. Advances in Natural Language Understanding have helped recent chatbots succeed at dialog on the informational level. However, current techniques still lag for conversing with humans on a personal level and fully relating to them. The University of Michigan's submission to the Alexa Prize Gra…",2020-11-11,"['cs.CL', 'cs.AI']"
ShadowNet: A Secure and Efficient System for On-device Model Inference,"['Zhichuang Sun', 'Ruimin Sun', 'Long Lu', 'Somesh Jha']",https://arxiv.org/pdf/2011.05905,"On-device machine learning (ML) is getting more and more popular as fast evolving AI accelerators emerge on mobile and edge devices. Consequently, thousands of proprietary ML models are being deployed on billions of untrusted devices, raising a serious security concern about the model privacy. However, how to protect the model privacy without losing access to the AI accelerators is a challenging p…",2020-11-11,"['cs.CR', 'cs.LG']"
A decision-making tool to fine-tune abnormal levels in the complete blood count tests,"['Marta Avalos-Fernandez', 'Helene Touchais', 'Marcela Henriquez-Henriquez']",https://arxiv.org/pdf/2011.05900,"The complete blood count (CBC) performed by automated hematology analyzers is one of the most ordered laboratory tests. It is a first-line tool for assessing a patient's general health status, or diagnosing and monitoring disease progression. When the analysis does not fit an expected setting, technologists manually review a blood smear using a microscope. The International Consensus Group for Hem…",2020-11-11,"['stat.ML', 'cs.LG', 'stat.AP']"
Age Gap Reducer-GAN for Recognizing Age-Separated Faces,"['Daksha Yadav', 'Naman Kohli', 'Mayank Vatsa', 'Richa Singh', 'Afzel Noore']",https://arxiv.org/pdf/2011.05897,"In this paper, we propose a novel algorithm for matching faces with temporal variations caused due to age progression. The proposed generative adversarial network algorithm is a unified framework that combines facial age estimation and age-separated face verification. The key idea of this approach is to learn the age variations across time by conditioning the input image on the subject's gender an…",2020-11-11,"['cs.CV', 'cs.LG']"
Error-correcting Codes for Short Tandem Duplication and Substitution Errors,"['Yuanyuan Tang', 'Farzad Farnoud']",https://arxiv.org/pdf/2011.05896,"Due to its high data density and longevity, DNA is considered a promising medium for satisfying ever-increasing data storage needs. However, the diversity of errors that occur in DNA sequences makes efficient error-correction a challenging task. This paper aims to address simultaneously correcting two types of errors, namely, short tandem duplication and substitution errors. We focus on tandem rep…",2020-11-11,['cs.IT']
Transferred Fusion Learning using Skipped Networks,"['Vinayaka R Kamath', 'Vishal S', 'Varun M']",https://arxiv.org/pdf/2011.05895,Identification of an entity that is of interest is prominent in any intelligent system. The visual intelligence of the model is enhanced when the capability of recognition is added. Several methods such as transfer learning and zero shot learning help to reuse the existing models or augment the existing model to achieve improved performance at the task of object recognition. Transferred fusion lea…,2020-11-11,"['cs.CV', 'cs.LG']"
Compressive Sensing based Multi-class Privacy-preserving Cloud Computing,"['Gajraj Kuldeep', 'Qi Zhang']",https://arxiv.org/pdf/2011.05888,"In this paper, we design the multi-class privacy\text{-}\text{-}preserving cloud computing scheme (MPCC) leveraging compressive sensing for compact sensor data representation and secrecy for data encryption. The proposed scheme achieves two-class secrecy, one for superuser who can retrieve the exact sensor data, and the other for semi-authorized user who is only able to obtain the statistical data such…",2020-11-11,"['cs.CR', 'cs.IT']"
Matrix Completion with Noise via Leveraged Sampling,"['Xinjian Huang', 'Weiwei Liu', 'Bo Du']",https://arxiv.org/pdf/2011.05885,"Many matrix completion methods assume that the data follows the uniform distribution. To address the limitation of this assumption, Chen et al. \cite{Chen20152999} propose to recover the matrix where the data follows the specific biased distribution. Unfortunately, in most real-world applications, the recovery of a data matrix appears to be incomplete, and perhaps even corrupted information. This…",2020-11-11,"['cs.LG', 'stat.ML']"
Efficient List-Decoding with Constant Alphabet and List Sizes,"['Zeyu Guo', 'Noga Ron-Zewi']",https://arxiv.org/pdf/2011.05884,"We present an explicit and efficient algebraic construction of capacity-achieving list decodable codes with both constant alphabet and constant list sizes. More specifically, for any R \in (0,1)R \in (0,1) and ε>0ε>0, we give an algebraic construction of an infinite family of error-correcting codes of rate RR, over an alphabet of size (1/ε)^{O(1/ε^2)}(1/ε)^{O(1/ε^2)}, that can be list decoded from a (1-R-ε)(1-R-ε)-fraction o…",2020-11-11,"['cs.CC', 'cs.IT']"
Energy Concealment based Compressive Sensing Encryption for Perfect Secrecy for IoT,"['Gajraj Kuldeep', 'Qi Zhang']",https://arxiv.org/pdf/2011.05880,"Recent study has shown that compressive sensing (CS) based computationally secure scheme using Gaussian or Binomial sensing matrix in resource-constrained IoT devices is vulnerable to ciphertext-only attack. Although the CS-based perfectly secure scheme has no such vulnerabilities, the practical realization of the perfectly secure scheme is challenging, because it requires an additional secure cha…",2020-11-11,"['cs.IT', 'cs.CR']"
Note on 4-Kings in Bipartite Hypertournaments,"['Jiangdong Ai', 'Stefanie Gerke', 'Gregory Gutin']",https://arxiv.org/pdf/2011.05878,"We disprove a conjecture of Petrovic (Graphs \&\& Combinatorics, 2019) on 4-kings in bipartite hypertournaments and provide a sufficient condition for the conclusion of the conjecture to hold.",2020-11-11,"['math.CO', 'cs.DM']"
Split-Treatment Analysis to Rank Heterogeneous Causal Effects for Prospective Interventions,"['Yanbo Xu', 'Divyat Mahajan', 'Liz Manrao', 'Amit Sharma', 'Emre Kiciman']",https://arxiv.org/pdf/2011.05877,"For many kinds of interventions, such as a new advertisement, marketing intervention, or feature recommendation, it is important to target a specific subset of people for maximizing its benefits at minimum cost or potential harm. However, a key challenge is that no data is available about the effect of such a prospective intervention since it has not been deployed yet. In this work, we propose a s…",2020-11-11,"['stat.ME', 'cs.LG']"
FAT: Training Neural Networks for Reliable Inference Under Hardware Faults,"['Ussama Zahid', 'Giulio Gambardella', 'Nicholas J. Fraser', 'Michaela Blott', 'Kees Vissers']",https://arxiv.org/pdf/2011.05873,"Deep neural networks (DNNs) are state-of-the-art algorithms for multiple applications, spanning from image classification to speech recognition. While providing excellent accuracy, they often have enormous compute and memory requirements. As a result of this, quantized neural networks (QNNs) are increasingly being adopted and deployed especially on embedded devices, thanks to their high accuracy,…",2020-11-11,"['cs.LG', 'cs.CV']"
A Primal Approach to Constrained Policy Optimization: Global Optimality and Finite-Time Analysis,"['Tengyu Xu', 'Yingbin Liang', 'Guanghui Lan']",https://arxiv.org/pdf/2011.05869,"Safe reinforcement learning (SRL) problems are typically modeled as constrained Markov Decision Process (CMDP), in which an agent explores the environment to maximize the expected total reward and meanwhile avoids violating certain constraints on a number of expected total costs. In general, such SRL problems have nonconvex objective functions subject to multiple nonconvex constraints, and hence a…",2020-11-11,"['cs.LG', 'stat.ML']"
DeepI2I: Enabling Deep Hierarchical Image-to-Image Translation by Transferring from GANs,"['Yaxing Wang', 'Lu Yu', 'Joost van de Weijer']",https://arxiv.org/pdf/2011.05867,"Image-to-image translation has recently achieved remarkable results. But despite current success, it suffers from inferior performance when translations between classes require large shape changes. We attribute this to the high-resolution bottlenecks which are used by current state-of-the-art image-to-image methods. Therefore, in this work, we propose a novel deep hierarchical Image-to-Image Trans…",2020-11-11,['cs.CV']
On the Sentence Embeddings from Pre-trained Language Models,"['Bohan Li', 'Hao Zhou', 'Junxian He', 'Mingxuan Wang', 'Yiming Yang', 'Lei Li']",https://arxiv.org/pdf/2011.05864,"Pre-trained contextual representations like BERT have achieved great success in natural language processing. However, the sentence embeddings from the pre-trained language models without fine-tuning have been found to poorly capture semantic meaning of sentences. In this paper, we argue that the semantic information in the BERT embeddings is not fully exploited. We first reveal the theoretical con…",2020-11-02,"['cs.CL', 'cs.LG']"
Wearable Sensors for Individual Grip Force Profiling,['Birgitta Dresp-Langley'],https://arxiv.org/pdf/2011.05863,"Biosensors and wearable sensor systems with transmitting capabilities are currently developed and used for the monitoring of health data, exercise activities, and other performance data. Unlike conventional approaches, these devices enable convenient, continuous, and/or unobtrusive monitoring of user behavioral signals in real time. Examples include signals relative to body motion, body temperatur…",2020-11-11,['cs.HC']
Offline Learning of Counterfactual Perception as Prediction for Real-World Robotic Reinforcement Learning,"['Jun Jin', 'Daniel Graves', 'Cameron Haigh', 'Jun Luo', 'Martin Jagersand']",https://arxiv.org/pdf/2011.05857,"We propose a method for offline learning of counterfactual predictions to address real world robotic reinforcement learning challenges. The proposed method encodes action-oriented visual observations as several ""what if"" questions learned offline from prior experience using reinforcement learning methods. These ""what if"" questions counterfactually predict how action-conditioned observation would e…",2020-11-11,"['cs.RO', 'cs.AI']"
Detecting Adversarial Patches with Class Conditional Reconstruction Networks,"['Perry Deng', 'Mohammad Saidur Rahman', 'Matthew Wright']",https://arxiv.org/pdf/2011.05850,"Defending against physical adversarial attacks is a rapidly growing topic in deep learning and computer vision. Prominent forms of physical adversarial attacks, such as overlaid adversarial patches and objects, share similarities with digital attacks, but are easy for humans to notice. This leads us to explore the hypothesis that adversarial detection methods, which have been shown to be ineffecti…",2020-11-11,['cs.CR']
A Survey and Implementation of Performance Metrics for Self-Organized Maps,"['Florent Forest', 'Mustapha Lebbah', 'Hanane Azzag', 'Jérôme Lacaille']",https://arxiv.org/pdf/2011.05847,"Self-Organizing Map algorithms have been used for almost 40 years across various application domains such as biology, geology, healthcare, industry and humanities as an interpretable tool to explore, cluster and visualize high-dimensional data sets. In every application, practitioners need to know whether they can \textit{trust} the resulting mapping, and perform model selection to tune algorithm…",2020-11-11,"['cs.NE', 'cs.LG']"
Linking OpenStreetMap with Knowledge Graphs -- Link Discovery for Schema-Agnostic Volunteered Geographic Information,"['Nicolas Tempelmeier', 'Elena Demidova']",https://arxiv.org/pdf/2011.05841,"Representations of geographic entities captured in popular knowledge graphs such as Wikidata and DBpedia are often incomplete. OpenStreetMap (OSM) is a rich source of openly available volunteered geographic information that has a high potential to complement these representations. However, identity links between the knowledge graph entities and OSM nodes are still rare. The problem of link discove…",2020-11-06,"['cs.SI', 'cs.LG']"
Neural Empirical Bayes: Source Distribution Estimation and its Applications to Simulation-Based Inference,"['Maxime Vandegar', 'Michael Kagan', 'Antoine Wehenkel', 'Gilles Louppe']",https://arxiv.org/pdf/2011.05836,"We revisit empirical Bayes in the absence of a tractable likelihood function, as is typical in scientific domains relying on computer simulations. We investigate how the empirical Bayesian can make use of neural density estimators first to use all noise-corrupted observations to estimate a prior or source distribution over uncorrupted samples, and then to perform single-observation posterior infer…",2020-11-11,"['stat.ML', 'cs.LG', 'hep-ex', 'hep-ph', 'physics.data-an']"
The complexity of bounded context switching with dynamic thread creation,"['Pascal Baumann', 'Rupak Majumdar', 'Ramanathan S. Thinniyam', 'Georg Zetzsche']",https://arxiv.org/pdf/2011.05825,"Dynamic networks of concurrent pushdown systems (DCPS) are a theoretical model for multi-threaded recursive programs with shared global state and dynamical creation of threads. The (global) state reachability problem for DCPS is undecidable in general, but Atig et al. (2009) showed that it becomes decidable, and is in 2EXPSPACE, when each thread is restricted to a fixed number of context switches.…",2020-11-11,"['cs.FL', 'cs.PL']"
Semi-Structured Deep Piecewise Exponential Models,"['Philipp Kopper', 'Sebastian Pölsterl', 'Christian Wachinger', 'Bernd Bischl', 'Andreas Bender', 'David Rügamer']",https://arxiv.org/pdf/2011.05824,"We propose a versatile framework for survival analysis that combines advanced concepts from statistics with deep learning. The presented framework is based on piecewise exponential models and thereby supports various survival tasks, such as competing risks and multi-state modeling, and further allows for estimation of time-varying effects and time-varying features. To also include multiple data so…",2020-11-11,"['cs.LG', 'cs.AI', 'stat.ML']"
Where to drive: free space detection with one fisheye camera,"['Tobias Scheck', 'Adarsh Mallandur', 'Christian Wiede', 'Gangolf Hirtz']",https://arxiv.org/pdf/2011.05822,"The development in the field of autonomous driving goes hand in hand with ever new developments in the field of image processing and machine learning methods. In order to fully exploit the advantages of deep learning, it is necessary to have sufficient labeled training data available. This is especially not the case for omnidirectional fisheye cameras. As a solution, we propose in this paper to us…",2020-11-11,['cs.CV']
FINO-Net: A Deep Multimodal Sensor Fusion Framework for Manipulation Failure Detection,"['Arda Inceoglu', 'Eren Erdal Aksoy', 'Abdullah Cihan Ak', 'Sanem Sariel']",https://arxiv.org/pdf/2011.05817,"Safe manipulation in unstructured environments for service robots is a challenging problem. A failure detection system is needed to monitor and detect unintended outcomes. We propose FINO-Net, a novel multimodal sensor fusion based deep neural network to detect and identify manipulation failures. We also introduce a multimodal dataset, containing 229 real-world manipulation data recorded with a Ba…",2020-11-11,['cs.RO']
Duality-Induced Regularizer for Tensor Factorization Based Knowledge Graph Completion,"['Zhanqiu Zhang', 'Jianyu Cai', 'Jie Wang']",https://arxiv.org/pdf/2011.05816,"Tensor factorization based models have shown great power in knowledge graph completion (KGC). However, their performance usually suffers from the overfitting problem seriously. This motivates various regularizers---such as the squared Frobenius norm and tensor nuclear norm regularizers---while the limited applicability significantly limits their practical usage. To address this challenge, we propo…",2020-11-11,['cs.LG']
Dynamic Plane Convolutional Occupancy Networks,"['Stefan Lionar', 'Daniil Emtsev', 'Dusan Svilarkovic', 'Songyou Peng']",https://arxiv.org/pdf/2011.05813,"Learning-based 3D reconstruction using implicit neural representations has shown promising progress not only at the object level but also in more complicated scenes. In this paper, we propose Dynamic Plane Convolutional Occupancy Networks, a novel implicit representation pushing further the quality of 3D surface reconstruction. The input noisy point clouds are encoded into per-point features that…",2020-11-11,['cs.CV']
AIRSENSE-TO-ACT: A Concept Paper for COVID-19 Countermeasures based on Artificial Intelligence algorithms and multi-sources Data Processing,"['A. Sebastianelli', 'F. Mauro', 'G. Di Cosmo', 'F. Passarini', 'M. Carminati', 'S. L. Ullo']",https://arxiv.org/pdf/2011.05808,"Aim of this paper is the description of a new tool to support institutions in the implementation of targeted countermeasures, based on quantitative and multi-scale elements, for the fight and prevention of emergencies, such as the current COVID-19 pandemic. The tool is a centralized system (web application), single multi-user platform, which relies on Artificial Intelligence (AI) algorithms for th…",2020-11-07,['cs.CY']
Detecting Synthetic Phenomenology in a Contained Artificial General Intelligence,"['Jason M. Pittman', 'Ashlyn Hanks']",https://arxiv.org/pdf/2011.05807,"Human-like intelligence in a machine is a contentious subject. Whether mankind should or should not pursue the creation of artificial general intelligence is hotly debated. As well, researchers have aligned in opposing factions according to whether mankind can create it. For our purposes, we assume mankind can and will do so. Thus, it becomes necessary to contemplate how to do so in a safe and tru…",2020-11-06,"['cs.CY', 'cs.AI']"
The Potential of Machine Learning and NLP for Handling Students' Feedback (A Short Survey),['Maryam Edalati'],https://arxiv.org/pdf/2011.05806,"This article provides a review of the literature of students' feedback papers published in recent years employing data mining techniques. In particular, the focus is to highlight those papers which are using either machine learning or deep learning approaches. Student feedback assessment is a hot topic which has attracted a lot of attention in recent times. The importance has increased manyfold du…",2020-11-07,"['cs.CY', 'cs.LG']"
Crime Prediction Using Multiple-ANFIS Architecture and Spatiotemporal Data,"['Mashnoon Islam', 'Redwanul Karim', 'Kalyan Roy', 'Saif Mahmood', 'Sadat Hossain', 'M. Rashedur Rahman']",https://arxiv.org/pdf/2011.05805,Statistical values alone cannot bring the whole scenario of crime occurrences in the city of Dhaka. We need a better way to use these statistical values to predict crime occurrences and make the city a safer place to live. Proper decision-making for the future is key in reducing the rate of criminal offenses in an area or a city. If the law enforcement bodies can allocate their resources efficient…,2020-11-07,"['cs.CY', 'cs.AI', 'cs.LO']"
